,LISTID,PRESENTED_WORD,PRESENT_POSITION,HIT,PARTICIPANT_GROUP,MOST_SIM_VAL,MOST_SIM_DIST,AVG_SIM_PREV_2,AVG_CONTRAST_3,PREV_SIM,PRESENT_ZONE,P_ID
2140,2,BÜYÜK,17,0,eng,0.40214,2.0,0.376375025,0.5085280874079574,0.35061005,3,eng17
2141,3,LAMBA,1,0,eng,,,,0.4816651749540949,,1,eng17
2142,3,DOLAP,2,0,eng,0.49137753,1.0,0.49137753,0.4630783239416406,0.49137753,1,eng17
2143,3,YATAK,3,0,eng,0.44734916,1.0,0.416460215,0.5000518294415874,0.44734916,1,eng17
2144,3,TOPRAK,4,0,eng,0.31237006,3.0,0.29543131499999997,0.580879847837553,0.30047488,1,eng17
2145,3,KALAS,5,1,eng,0.3306826,1.0,0.27929687000000003,0.6773927047056724,0.3306826,2,eng17
2146,3,DÜĞME,6,0,eng,0.66616935,5.0,0.253771845,0.48710606194035133,0.23835877,2,eng17
2147,3,ODA,7,0,eng,0.4827052,4.0,0.22343579,0.5909156600745314,0.30120072,2,eng17
2148,3,KOKU,8,0,eng,0.46388754,2.0,0.37190281999999997,0.4786207257406735,0.2799181,2,eng17
2149,3,PARKUR,9,1,eng,0.4097581,7.0,0.28491290999999996,0.5728479525505379,0.27347842,2,eng17
2150,3,KÜÇÜK,10,0,eng,0.4007821,5.0,0.33991991,0.4860030526445329,0.2895999,3,eng17
2151,3,FIRIN,11,0,eng,0.51395726,9.0,0.304688075,0.4692312602388127,0.3637446,3,eng17
2152,3,HALI,12,0,eng,0.41348156,10.0,0.35847051500000005,0.477096923423722,0.39744106,3,eng17
2153,3,KİTAP,13,0,eng,0.43762326,11.0,0.27047350000000003,0.5873952461095135,0.3339557,3,eng17
2154,3,KOLA,14,0,eng,0.52985805,8.0,0.262137185,0.4800545184175321,0.22294077,3,eng17
2155,3,SALÇA,15,1,eng,0.62399864,9.0,0.391360995,0.40130199563089475,0.5345457,3,eng17
2156,3,DUVAR,16,1,eng,0.471445,14.0,0.354368725,0.531902380048652,0.3779416,3,eng17
2157,3,ÇİÇEK,17,1,eng,0.4708734,7.0,0.35699475999999997,0.5101598247109286,0.32897812,3,eng17
2158,4,KUTU,1,1,eng,,,,0.5426537714208708,,1,eng17
2159,4,PARA,2,1,eng,0.35182947,1.0,0.35182947,0.5470897975575557,0.35182947,1,eng17
2160,4,ZEMİN,3,1,eng,0.33154258,2.0,0.305468155,0.536623786093855,0.27939373,1,eng17
2161,4,HALKA,4,0,eng,0.37018293,2.0,0.362264705,0.5262076219189646,0.35434648,1,eng17
2162,4,TAHTA,5,0,eng,0.50979894,4.0,0.34783099,0.45872467966628283,0.32169798,2,eng17
2163,4,ÇORAP,6,0,eng,0.4534277,5.0,0.384008645,0.42082201148597,0.45284566,2,eng17
2164,4,KALIP,7,0,eng,0.47379452,1.0,0.408253195,0.49774813048043864,0.47379452,2,eng17
2165,4,MARKET,8,1,eng,0.45019683,3.0,0.37492551500000004,0.4690059622277697,0.3274921,2,eng17
2166,4,SULUK,9,0,eng,0.4077956,2.0,0.37456875,0.4611834417824342,0.3413419,2,eng17
2167,4,BAHÇE,10,0,eng,0.42791113,5.0,0.393160015,0.5187608670076764,0.41458023,3,eng17
