ListID,Presented Word,Present Position,Recalled Word,Recall Position,Reaction Time,Hit,Participant ID,Participant Group
0,TÜTÜN,5,TÜTÜN,2.0,1.6370760999852791,1,7,eng
0,KELİME,6,KELİME,1.0,6.422440599999391,1,7,eng
1,ÇANTA,1,,,,0,7,eng
1,YAZI,2,,,,0,7,eng
1,EKRAN,3,,,,0,7,eng
1,KÖPEK,4,,,,0,7,eng
1,PARK,5,,,,0,7,eng
1,BİNA,6,,,,0,7,eng
1,KAĞIT,7,,,,0,7,eng
1,BARDAK,8,,,,0,7,eng
1,KOLAY,9,,,,0,7,eng
1,AĞAÇ,10,AĞAÇ,5.0,4.219527899986133,1,7,eng
1,KALEM,11,KALEM,2.0,1.5147557999007404,1,7,eng
1,ÖLÇEK,12,,,,0,7,eng
1,BEYİN,13,BEYİN,4.0,2.6765482000773773,1,7,eng
1,ŞİŞE,14,,,,0,7,eng
1,RAKAM,15,,,,0,7,eng
1,KABLO,16,KABLO,3.0,2.24021509999875,1,7,eng
1,KALE,17,,,,0,7,eng
1,SARI,18,SARI,1.0,2.5823055000510067,1,7,eng
2,KAPI,1,KAPI,7.0,4.934172899927944,1,7,eng
2,CÜZDAN,2,,,,0,7,eng
2,İLAÇ,3,,,,0,7,eng
2,DEFTER,4,,,,0,7,eng
2,GRUP,5,,,,0,7,eng
2,KEDİ,6,KEDİ,2.0,1.08156120008789,1,7,eng
2,TOPLU,7,,,,0,7,eng
2,TABAK,8,,,,0,7,eng
2,KISA,9,,,,0,7,eng
2,ELMA,10,,,,0,7,eng
2,SEHPA,11,,,,0,7,eng
2,SPOR,12,,,,0,7,eng
2,BÜYÜK,13,BÜYÜK,6.0,6.424921900033951,1,7,eng
2,KAŞIK,14,KAŞIK,5.0,1.7939202000852674,1,7,eng
2,TAŞLIK,15,,,,0,7,eng
2,KOLTUK,16,KOLTUK,1.0,2.763006899971515,1,7,eng
2,TERLİK,17,TERLİK,4.0,1.795952699962072,1,7,eng
3,DÜĞME,1,,,,0,7,eng
3,SALÇA,2,,,,0,7,eng
3,HALI,3,,,,0,7,eng
3,ÇİÇEK,4,ÇİÇEK,4.0,2.546786700026132,1,7,eng
3,KOLA,5,KOLA,7.0,0.9445711999433116,1,7,eng
3,KOKU,6,KOKU,3.0,2.367974300053902,1,7,eng
3,KÜÇÜK,7,KÜÇÜK,8.0,2.422732300008647,1,7,eng
3,KİTAP,8,KİTAP,9.0,1.4919250999810174,1,7,eng
3,DUVAR,9,DUVAR,6.0,1.135600500041619,1,7,eng
3,KALAS,10,,,,0,7,eng
3,TOPRAK,11,,,,0,7,eng
3,LAMBA,12,,,,0,7,eng
3,DOLAP,13,,,,0,7,eng
3,PARKUR,14,,,,0,7,eng
3,FIRIN,15,,,,0,7,eng
3,YATAK,16,YATAK,1.0,2.576902100001462,1,7,eng
3,ODA,17,ODA,2.0,0.9607021999545396,1,7,eng
4,HALKA,1,,,,0,7,eng
4,SULUK,2,,,,0,7,eng
4,TAHTA,3,,,,0,7,eng
4,KALIP,4,,,,0,7,eng
4,MEKTUP,5,,,,0,7,eng
4,ZEMİN,6,,,,0,7,eng
4,ÇORAP,7,ÇORAP,2.0,1.439730399986729,1,7,eng
4,SİLGİ,8,,,,0,7,eng
4,HARİTA,9,,,,0,7,eng
4,PARA,10,,,,0,7,eng
4,KASA,11,,,,0,7,eng
4,DERGİ,12,,,,0,7,eng
4,MARKET,13,,,,0,7,eng
4,TERAS,14,,,,0,7,eng
4,SIRA,15,SIRA,4.0,5.009702499955893,1,7,eng
4,KUTU,16,,,,0,7,eng
4,BAHÇE,17,BAHÇE,1.0,2.373180099995807,1,7,eng
0,MASA,1,masa,1.0,2.876774800000021,1,6,soc
0,CAM,2,,,,0,6,soc
0,SU,3,su,2.0,2.4829608999998527,1,6,soc
0,İYİLİK,4,iyilik,3.0,4.6401967000001605,1,6,soc
0,TÜTÜN,5,tütün,4.0,2.8340260999998463,1,6,soc
0,KELİME,6,,,,0,6,soc
