,LISTID,PRESENTED_WORD,PRESENT_POSITION,HIT,PARTICIPANT_GROUP,MOST_SIM_VAL,MOST_SIM_DIST,AVG_SIM_PREV_1,AVG_CONTRAST_1,AVG_SIM_PREV_5,AVG_CONTRAST_5,PREV_SIM,STM_SEMANTIC_D,STM_MAX_SIM,STM_MAX_SIM_DIST,STM_MAX_SIM_POS,UNIQUENESS,PRESENT_ZONE,SAME_CLUSTER_IN_Z1,SAME_CLUSTER_IN_Z2,SAME_CLUSTER_IN_Z3,SAME_CLUSTER_IN_Z1_COUNT,SAME_CLUSTER_IN_Z2_COUNT,SAME_CLUSTER_IN_Z3_COUNT,CATEGORY_IN_STM_4,CATEGORY_IN_STM_1,CLUSTER,P_ID
2386,4,SİLGİ,4,0,soc,0.5408118683387342,1.0,0.5408118683387342,0.556172499282729,0.39779324244825304,0.48096360129048576,0.5408118683387342,0.7637682451624104,0.5408118683387342,1,2,0.5218073700450268,1,1,0,0,2,0,0,1,0,8,soc15
2387,4,HALKA,5,0,soc,0.2994713075355786,1.0,0.2994713075355786,0.6635773418436217,0.20440694219125255,0.5225840116713933,0.2994713075355786,1.9571479725071694,0.2994713075355786,1,3,0.6124509680760033,2,0,1,1,0,1,1,0,0,7,soc15
2388,4,KALIP,6,0,soc,0.7259905593396109,3.0,0.13820405341712544,0.5910990067212316,0.3287845231677845,0.44971583484134414,0.13820405341712544,2.173924818306151,0.7259905593396109,3,2,0.5223097264269394,2,0,1,0,0,1,0,0,0,9,soc15
2389,4,ZEMİN,7,1,soc,0.5305487251469482,1.0,0.5305487251469482,0.5670505277133099,0.3215132385779227,0.47887369994281237,0.5305487251469482,2.3239530788060834,0.5305487251469482,1,5,0.5051655136033202,2,0,1,1,0,1,2,0,0,3,soc15
2390,4,KUTU,8,0,soc,0.6721658308899058,5.0,0.3050256329153812,0.569503258437685,0.42817866048670855,0.4191950036592088,0.3050256329153812,1.94585089021678,0.6188865632814411,2,5,0.49874203649448345,2,0,1,1,0,1,1,0,0,0,soc15
2391,4,HARİTA,9,0,soc,0.46457851757624713,1.0,0.46457851757624713,0.6133035366002738,0.3135589875831107,0.5260967756022149,0.46457851757624713,2.2909031411220564,0.46457851757624713,1,7,0.5235978075813028,2,0,1,1,0,1,1,0,0,1,soc15
2392,4,SIRA,10,0,soc,0.24573466174940206,5.0,0.08792184239253005,0.7112218946543674,0.1326418816890485,0.6148120944627697,0.08792184239253005,2.649930174798095,0.15853046183532515,4,5,0.6662960055028357,3,0,1,1,0,1,1,1,1,1,soc15
2393,4,MEKTUP,11,0,soc,0.531413672102889,6.0,0.06066751229053965,0.6817488982114777,0.15181195774449754,0.5643535212248658,0.06066751229053965,1.4463568769032227,0.2775652470935073,3,7,0.619778400676466,3,0,1,1,0,1,1,0,0,7,soc15
2394,4,TAHTA,12,1,soc,0.808938780912267,4.0,0.2583237938526194,0.6181461171815222,0.37232378947988354,0.40821042404739183,0.2583237938526194,1.0309710977606052,0.808938780912267,4,7,0.49356818993562246,3,0,1,1,0,1,1,1,0,0,soc15
2395,4,PARA,13,0,soc,0.60207201097775,11.0,0.2557476057021561,0.5920423282809872,0.25341163010237877,0.5142593890194435,0.2557476057021561,0.837027889084271,0.3283978944831216,2,10,0.5534173217830669,3,1,0,1,2,0,2,0,0,5,soc15
